"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
0.000000000E0,4.827037729E1,1.164852812E1,4.709382019E2,-1.000000000E0,-1.000000000E0,1.335332830E-2,1.650000000E3,1.650000000E3,0.000000000E0
1.531060934E-1,4.827031293E1,1.164868044E1,4.709382019E2,-1.000000000E0,-1.000000000E0,1.358339728E0,1.650000000E3,1.650000000E3,0.000000000E0
2.748230696E0,4.826415261E1,1.166431931E1,4.526365081E2,0.000000000E0,-1.000000000E0,1.358339728E0,4.800000000E1,4.800000000E1,0.000000000E0
3.748230338E0,4.826415261E1,1.166431931E1,4.548456946E2,0.000000000E0,-1.000000000E0,1.368096651E0,2.400000000E1,2.400000000E1,0.000000000E0
4.748229980E0,4.826418005E1,1.166444450E1,4.727399149E2,0.000000000E0,-1.000000000E0,1.368096651E0,2.400000000E1,2.400000000E1,0.000000000E0
5.748230338E0,4.826418005E1,1.166444450E1,4.727399149E2,0.000000000E0,-1.000000000E0,1.368096651E0,1.600000000E1,1.600000000E1,0.000000000E0
6.748230219E0,4.826418005E1,1.166444450E1,4.727399149E2,0.000000000E0,-1.000000000E0,1.368096651E0,1.600241655E1,1.600241655E1,0.000000000E0
7.748229623E0,4.826418005E1,1.166444450E1,4.727399149E2,0.000000000E0,-1.000000000E0,1.372065820E0,1.200181241E1,1.200181241E1,0.000000000E0
8.727265954E0,4.826421466E1,1.166445764E1,4.756452508E2,1.075937301E-1,-1.000000000E0,1.372739392E0,1.200181241E1,1.200181241E1,0.000000000E0
1.073451746E1,4.826420874E1,1.166445953E1,4.757526228E2,1.367302090E-1,-1.000000000E0,1.374291767E0,8.001208274E0,8.001208274E0,0.000000000E0
1.173451805E1,4.826420389E1,1.166447919E1,4.757441340E2,2.066790462E-1,-1.000000000E0,1.374857222E0,8.001208274E0,8.001208274E0,0.000000000E0
1.274583721E1,4.826419991E1,1.166448396E1,4.757199391E2,2.442362159E-1,-1.000000000E0,1.375015284E0,8.001208274E0,8.001208274E0,0.000000000E0
1.374583745E1,4.826419912E1,1.166448573E1,4.757043910E2,6.625668705E-2,-1.000000000E0,1.375015284E0,8.001208274E0,8.001208274E0,0.000000000E0
